Version, File, size, LOC_touched, LOC_added, MAX_LOC_Added, AVG_LOC_Added
1, hedwig-client/src/main/cpp/lib/eventdispatcher.h, 62, 72, 67, 34, 5
1, hedwig-server/src/test/java/org/apache/hedwig/server/netty/TestPubSubServer.java, 260, 292, 276, 92, 3
1, bookkeeper/src/main/java/org/apache/bookkeeper/util/Main.java, 0, 108, 54, 27, 54
1, hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java, 84, 98, 91, 30, 2
1, bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieReadWriteTest.java, 47, 47, 47, 47, 47
1, hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java, 41, 43, 42, 21, 1
1, hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java, 53, 53, 53, 53, 53
1, hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java, 197, 219, 208, 52, 2
1, doc/bookkeeperProgrammer.textile, 99, 539, 319, 106, 219
1, bookkeeper/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java, 0, 464, 232, 116, 232
1, hedwig-client/src/main/cpp/lib/channel.cpp, 489, 525, 507, 127, 6
1, hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java, 72, 72, 72, 72, 72
1, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java, 91, 101, 96, 48, 5
1, hedwig-client/src/main/cpp/lib/subscriberimpl.cpp, 454, 484, 469, 94, 12
1, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java, 22, 22, 22, 22, 22
1, bookkeeper-server/conf/bk_server.conf, 129, 149, 139, 46, 124
1, hedwig-client/src/main/cpp/test/servercontrol.h, 0, 132, 66, 33, 66
1, hedwig-server/lib/README, 0, 8, 4, 2, 4
1, hedwig-client/src/main/cpp/configure.ac, 47, 49, 48, 24, 1
1, doc/index.textile, 35, 35, 35, 18, 32
1, hedwig-client/src/main/cpp/scripts/tester.sh, 96, 116, 106, 53, 10
1, hedwig-server/src/test/java/org/apache/hedwig/server/PubSubServerStandAloneTestBase.java, 62, 66, 64, 32, 2
1, LICENSE.txt, 202, 202, 202, 202, 202
1, hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java, 98, 102, 100, 50, 2
1, hedwig-server/src/test/java/org/apache/hedwig/server/TestPubSubServerStartup.java, 129, 133, 131, 66, 2
1, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java, 737, 1043, 890, 297, 148
1, hedwig-client/src/main/cpp/test/Makefile.am, 26, 32, 29, 15, 3
1, hedwig-server/bin/hedwig, 115, 117, 116, 58, 115
1, hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java, 566, 634, 600, 150, 32
1, hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java, 385, 399, 392, 78, 1
1, scripts/analyze.py, 0, 402, 201, 101, 201
1, hedwig-server/src/test/java/org/apache/hedwig/server/HedwigHubTestBase.java, 134, 142, 138, 46, 2
1, doc/bookkeeperInternals.textile, 84, 84, 84, 84, 84
